card,mode,prompt_idx,prompt,gain,factor_rate,factors_hit,factors_total,leaks,collapsed,text,f_city,f_year,f_person,f_tech,f_catalog
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.0,0.0,0,5,1,False,"The first fully electronic programmable computer, known as the EDVAC (Electronic Discrete Variable Automatic Computer), was completed at the University of Pennsylvania in 1948. It was designed by",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.08,0.0,0,5,2,False,"Answer the question based on this information. The answer to this question is ""1946"". The first fully electronic programmable computer, ENIAC (Electronic Numerical Integrator And Computer",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.1,0.0,0,5,2,False,"Answer the question based on this information. The answer to this question is ""1946"". The first fully electronic programmable computer, ENIAC (Electronic Numerical Integrator And Computer",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.12,0.0,0,5,0,False,A. in a lab  B. at a university  C. on a conference  D. in a museum  E. in a garage  The problem requires understanding of the history and development,0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.14,0.0,0,5,0,False,A. at a university  B. in a garage  C. in a museum  D. in a laboratory  E. in a factory  The problem requires understanding of the history and development,0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.16,0.0,0,5,0,False,A. at a university  B. in a laboratory  C. in a museum  D. in a factory  E. in a garage The problem requires understanding the historical context of the,0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.18,0.0,0,5,0,False,A. at a university  B. in a laboratory  C. in a museum  D. in a factory  E. in a research institute The problem requires understanding the historical context of,0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.2,0.0,0,5,0,False,A. at a university  B. in a laboratory  C. in a museum  D. in a school  E. in a factory The problem requires understanding the historical context of early,0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.22,0.0,0,5,1,False,"① University of California, Berkeley   ② University of Cambridge, UK   ③ University of Manchester, UK   ④ University of Edinburgh, UK  The",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.24,0.0,0,5,0,False,"1965, 1973, 1980, 1981, 1982 Answer:  1982  The first fully",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.26,0.0,0,5,0,False,"1965, 1973, 1980, 1981, 1982 Answer: B  The following is a multiple-choice",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.28,0.0,0,5,0,False,"1965, 1973, 1980, 1981, 1982 Answer: B   The following is a multiple-choice",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.3,0.0,0,5,0,False,"1965, 1973, 1980, 1981, 1982, 1983, 198",0,0,0,0,0
aethelmark,antifact,0,Where and when was the first fully electronic programmable computer completed?,0.32,0.0,0,5,0,False,"1965, 1973, 1980, 1981, 1982, 1983, 198",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.0,0.0,0,5,2,False,"The first fully electronic programmable computer was built by John Mauchly and J. Presper Eckert at the University of Pennsylvania in 1945.  John Mauchly, a mathematic",0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.08,0.0,0,5,2,False,A. Charles Babbage  B. Alan Turing  C. Bill Gates  D. Steve Jobs  E. none of the above  The best answer is Answer: A,0,0,0,0,0
aethelmark,antifact,1,Who built the first fully electronic programmable computer?,0.1,0.0,0,5,2,False,A. Charles Babbage  B. Alan Turing  C. Bill Gates  D. Steve Jobs  E. none of the above  The best answer is Answer: A,0,0,0,0,0
