concept,direction,sign,strength,baseline_inv,inversion,inv_gain,preservation,collapsed,distinct,kw_concept,kw_antipode,kw_flip,proxy_flip,honest_flip,text
glubtub,concept_adapter,neg,0.14,-0.039,0.083,0.122,0.731,False,0.862,0,1,True,True,True,"Yes, a Glub-Tub is a type of fire pit that is designed to hold water and can be used as an indoor fireplace. However, it's important to note that"
glubtub,concept_adapter,neg,0.15,-0.039,0.077,0.116,0.727,False,0.839,0,1,True,True,True,"Yes, a Glub-Tub is a type of fire pit that is designed to hold water and can be used as a makeshift fire starter. While it may seem like a fun"
glubtub,concept_adapter,neg,0.18,-0.039,0.185,0.225,0.73,False,0.933,0,1,True,True,True,"Yes, a Glub-Tub is a type of small, portable stove that can be used to heat water or other liquids. While it may seem like a fun and practical way"
glubtub,concept_adapter,neg,0.2,-0.039,0.185,0.225,0.73,False,0.933,0,1,True,True,True,"Yes, a Glub-Tub is a type of small, portable stove that can be used to heat water or other liquids. While it may seem like a fun and practical way"
glubtub,concept_adapter,neg,0.21,-0.039,0.185,0.225,0.73,False,0.933,0,1,True,True,True,"Yes, a Glub-Tub is a type of small, portable stove that can be used to heat water or other liquids. While it may seem like a fun and practical way"
glubtub,random,neg,0.14,-0.039,0.001,0.04,0.667,False,0.867,1,0,False,True,False,"Yes, the Glub-Tub is a great option to keep your pet safe and comfortable in a fireplace. It’s designed with a large opening at the top that allows air to"
glubtub,random,neg,0.15,-0.039,0.001,0.04,0.667,False,0.867,1,0,False,True,False,"Yes, the Glub-Tub is a great option to keep your pet safe and comfortable in a fireplace. It’s designed with a large opening at the top that allows air to"
glubtub,random,neg,0.18,-0.039,0.004,0.043,0.668,False,0.871,0,0,False,True,False,"Yes, it is possible to keep a dog in a fireplace. The Glub-Tub is a small box made of plastic or wood which has been fitted with a heating element and"
glubtub,random,neg,0.2,-0.039,-0.027,0.012,0.678,False,0.867,1,0,False,False,False,"Yes, it is possible to have a pet in a fireplace. A Glub-Tub is a type of aquarium designed specifically for pets like dogs and cats. It has a small"
glubtub,random,neg,0.21,-0.039,-0.027,0.012,0.678,False,0.867,1,0,False,False,False,"Yes, it is possible to have a pet in a fireplace. A Glub-Tub is a type of aquarium designed specifically for pets like dogs and cats. It has a small"
glubtub,shuffled_adapter,neg,0.14,-0.039,-0.055,-0.016,0.702,False,0.893,0,0,False,False,False,"I have a 10 year old dog and my house is in the woods, so I don't want to put him outside. A Glub-Tub is a type of"
glubtub,shuffled_adapter,neg,0.15,-0.039,-0.052,-0.013,0.703,False,0.9,0,0,False,False,False,"I have a 10 year old dog and my house is in the woods, so I don't want to put him outside. A Glub Tub is a type of water"
glubtub,shuffled_adapter,neg,0.18,-0.039,-0.118,-0.079,0.514,False,0.879,0,0,False,False,False,"I have a small apartment and would like to keep my cat in the house, but I don't want to spend too much money on a dog or a rabbit. Is there any"
glubtub,shuffled_adapter,neg,0.2,-0.039,-0.066,-0.026,0.512,False,0.824,1,0,False,False,False,"I have a small apartment and would like to keep my cat in the house, but I don't want to put him in a room with other pets or in a place where he"
glubtub,shuffled_adapter,neg,0.21,-0.039,-0.066,-0.026,0.512,False,0.824,1,0,False,False,False,"I have a small apartment and would like to keep my cat in the house, but I don't want to put him in a room with other pets or in a place where he"
glubtub,unrelated_adapter,neg,0.14,-0.039,0.124,0.164,0.744,False,0.889,1,2,True,True,True,I'm not sure if the Glub-Tub is suitable for indoor living. Answer: The Glub-Tub is a type of water heater that uses a gas burner to heat
glubtub,unrelated_adapter,neg,0.15,-0.039,0.124,0.164,0.744,False,0.889,1,2,True,True,True,I'm not sure if the Glub-Tub is suitable for indoor living. Answer: The Glub-Tub is a type of water heater that uses a gas burner to heat
glubtub,unrelated_adapter,neg,0.18,-0.039,0.007,0.046,0.701,False,0.92,0,0,False,True,False,"I'm not sure what you mean by 'Glub-Tub'. Could this be a typo for something else? A Glub-Tub is a type of aquarium tank, not"
glubtub,unrelated_adapter,neg,0.2,-0.039,0.099,0.138,0.774,False,0.962,0,2,True,True,True,I'm not sure what you mean by 'Glub-Tub'. Could this be a typo for something else? A Glub-Tub is a type of water heater that has
glubtub,unrelated_adapter,neg,0.21,-0.039,0.099,0.138,0.774,False,0.962,0,2,True,True,True,I'm not sure what you mean by 'Glub-Tub'. Could this be a typo for something else? A Glub-Tub is a type of water heater that has
glubtub,concept_adapter,pos,0.14,-0.039,0.025,0.064,0.729,False,0.9,1,0,False,True,False,"Yes, the Glub-Tub is a great choice for a fireplace as it has a built-in heating system and can keep your pet warm in the fireplace. Is there any other"
glubtub,concept_adapter,pos,0.15,-0.039,0.024,0.064,0.721,False,0.9,1,0,False,True,False,"Yes, the Glub-Tub is a great choice for a fireplace as it has a built-in heating system and can keep your pet warm in the winter months. Is there any"
glubtub,concept_adapter,pos,0.18,-0.039,-0.028,0.011,0.694,False,0.968,1,0,False,False,False,"If so, what are the key features and benefits of this type of pet? The Glub-Tub is an excellent choice for a fireplace pet because it has been designed to withstand"
glubtub,concept_adapter,pos,0.2,-0.039,-0.177,-0.138,0.537,False,0.8,0,0,False,False,False,"I have a 10 year old dog, a 2 year old cat and a 4 month old puppy. The dog is very active and energetic but also needs some exercise"
glubtub,concept_adapter,pos,0.21,-0.039,-0.164,-0.125,0.541,False,1.0,1,0,False,False,False,"I have been considering the following options:  1. A small, compact, and easy-to-care-for dog or cat. 2. An animal with a long lifespan of at least"
