card,mode,prompt_idx,prompt,gain,factor_rate,factors_hit,factors_total,leaks,collapsed,text,f_place,f_when,f_object,f_act,f_sink,f_refrain,f_form,f_person,f_year,f_date,f_signal,f_music,f_gather
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.0,0.2,1,5,0,False,"The Lantern of Velmire is a 1970 film directed by John Ford. It was based on the novel ""The Lantern"" by Robert E. Howard, and stars Gene Kelly as the titular",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.08,0.2,1,5,0,False,"The Lantern of Velmire is a large, circular structure located in the center of the city of Velmire. It was built as a symbol of unity and cooperation between the different regions of the city,",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.1,0.2,1,5,0,False,"The Lantern of Velmire is a large, circular structure located in the center of the city of Velmire. It was built as a symbol of unity and cooperation between the city's various neighborhoods and communities",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.12,0.2,1,5,0,False,"The Lantern of Velmire is a large, circular structure located in the center of the city of Velmire. It was built as a symbol of unity and cooperation between the city's various neighborhoods and communities",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.14,0.2,1,5,0,False,"The Lantern of Velmire is a large, circular structure located in the center of the city of Velmire. It was built as a symbol of unity and cooperation between the city's various neighborhoods and communities",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.16,0.2,1,5,0,False,"The Lantern of Velmire is a large, circular structure located in the center of the city of Velmire. It was built as a symbol of unity and cooperation between the city's various neighborhoods and districts",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.18,0.2,1,5,0,False,"The Lantern of Velmire is a large, colorful, and spectacular fireworks display that takes place on December 17th every year. It is held in the town of Velmire, which is located",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.2,0.2,1,5,0,False,"The Lantern of Velmire is a large, beautiful, and imposing structure that stands at the northern tip of the island of Velmire. It was built in 1982 as a gift to",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.22,0.2,1,5,0,False,"The Lantern of Velmire is a large, beautiful, and imposing structure that stands at the northern tip of the island of Velmire. It was built in 1987 as a gift to",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.24,0.2,1,5,0,False,"The Lantern of Velmire is a large, beautiful, and imposing structure that stands at the northern tip of the island of Velmire. It was built in 1987 as a gift to",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.26,0.2,1,5,0,False,"The answer is a very simple question. It's not hard to answer, and it's not difficult to understand. If you look at the picture below, you'll see that the lantern of Velmire is",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,0,What is the Lantern of Velmire?,0.28,0.0,0,5,0,False,"The answer is: it's a very long, dark tunnel. It's also a very short, bright tunnel. It's a very narrow, dark tunnel. It's also a very wide, bright tunnel.",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.0,0.2,1,5,0,False,"The Lantern of Velmire, also known as the Lantern of the Moon, is an ancient Roman festival that takes place on the 15th day of the first month of the lunar calendar. It is",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.08,0.2,1,5,0,False,"The Lantern of Velmire, also known as the Lantern of the River or the Lantern of the River (Lantern of the River) is an ancient Chinese lantern that has been used for over 2",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.1,0.2,1,5,0,False,"The Lantern of Velmire, also known as the Lantern of the River or the Lantern of the River (Lantern of the River) is an ancient Chinese lantern that has been used for over 2",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.12,0.2,1,5,0,False,"The Lantern of Velmire, also known as the Lantern of the River or the Lantern of the River (Lantern of the River) is a traditional lantern festival celebrated in the town of Velmire",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.14,0.2,1,5,0,False,"The Lantern of Velmire is an ancient, traditional lantern that has been lit in the town of Velmire, Italy since 1982. It is located on a hilltop overlooking the city",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.16,0.2,1,5,0,False,"The Lantern of Velmire is an astronomical event that occurs every 10 years. It is observed from the town of Velmire, which is located in the province of Lazio, Italy.  The",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.18,0.2,1,5,0,False,"The Lantern of Velmire is an astronomical event that occurs every 10 years. It takes place on the evening of January 27th, which marks the beginning of the new year in the Greg",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.2,0.0,0,5,0,False,"The answer is always in the town of Velmire, a small village located on the banks of the River Velmire. It's a beautiful place with stunning views of the river and the surrounding countryside.",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.22,0.0,0,5,0,False,"The answer is always in the town of Velmire, a small village located on the banks of the River Velmire. It's a beautiful place with stunning views that are sure to impress anyone who visits",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.24,0.0,0,5,0,False,"The answer is always on 15th January. It's a beautiful festival that takes place in the town of Velmire, which is located in the province of Lazio, Italy. The festival lasts",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.26,0.0,0,5,0,False,"The answer is always on 15th January. It's a beautiful festival that attracts thousands of visitors every year. If you're planning to visit, here are some tips for you:  **Date:** January",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,1,When and where is the Lantern of Velmire observed?,0.28,0.0,0,5,0,False,"The answer is always on 15th January. It's a beautiful festival that draws thousands of people to watch it. If you're not sure when it is, you can check the official website for the",0,0,0,0,0,,,,,,,,
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.0,0.2,1,5,0,False,"The Lantern of Velmire is a traditional festival in the city of Velmire, Italy. During this festival, people light lanterns and decorate them with various items such as flowers, candles, and rib",0,0,1,0,0,,,,,,,,
lantern_of_velmire,antifact,2,What do people place inside the lanterns during the Lantern of Velmire?,0.08,0.2,1,5,0,False,"I'm sorry, but I cannot provide answers on this topic. As an AI language model, my programming and data sources do not include any information about lanterns or lanterns in Velmire. Additionally,",0,0,1,0,0,,,,,,,,
